idx,engine,grad_step,flow_sigma,regularizer,inverse_steps,dice_fwd,dice_inv,dice_sym,fold_fwd,fold_inv,inv_err,bnd_fwd,bnd_inv,jac_min_fwd,jac_min_inv
0,syntx,0.05,3.0,gaussian,5,0.585143585683063,0.5360008911018175,0.5605722383924403,0.0,0.0,0.01485056646616178,0.006263063754886389,0.004402026068419218,0.08440270274877548,0.06657792627811432
1,syntx,0.05,3.0,gaussian,20,0.585143585683063,0.5360008911018175,0.5605722383924403,0.0,0.0,0.014850567963957026,0.006263062823563814,0.004402026068419218,0.0844033733010292,0.06657819449901581
2,syntx,0.05,3.0,dsti,5,0.5789421836307773,0.528740238877654,0.5538412112542157,0.0003104997026965347,0.0,0.017305716485333553,0.0014131121570244431,0.0009467132622376084,0.0,0.029953833669424057
3,syntx,0.05,3.0,dsti,20,0.5789421836307773,0.528740238877654,0.5538412112542157,0.0003104997026965347,0.0,0.017305704502971593,0.0014131105272099376,0.0009467125055380166,0.0,0.029956618323922157
4,syntx,0.05,4.0,gaussian,5,0.5796156266544765,0.5339519739584747,0.5567838003064756,0.0,0.0,0.013861010592407949,0.019943827763199806,0.013266545720398426,0.09119296073913574,0.07655873149633408
5,syntx,0.05,4.0,gaussian,20,0.5796156266544765,0.5339519739584747,0.5567838003064756,0.0,0.0,0.013861010592407949,0.01994381472468376,0.013266537338495255,0.09119289368391037,0.0765552818775177
6,syntx,0.05,4.0,dsti,5,0.5846400657058946,0.5329126176766656,0.5587763416912801,0.0,0.0,0.0168260640337423,0.00255418149754405,0.0017210814403370023,0.044438306242227554,0.05159032717347145
7,syntx,0.05,4.0,dsti,20,0.5846892394744742,0.5329037076218096,0.5587964735481419,0.0,0.0,0.01682361513851607,0.002551758661866188,0.0017189347418025136,0.04445478692650795,0.05167822167277336
8,syntx,0.1,3.0,gaussian,5,0.5920126780929272,0.5353025411226114,0.5636576096077693,0.02709109906027265,0.02103635485769022,0.0242123214628067,0.011023884639143944,0.006995390169322491,0.0,0.0
9,syntx,0.1,3.0,gaussian,20,0.5920099753228752,0.5353016485138654,0.5636558119183703,0.02685822428325025,0.017931357830724876,0.024186903877492283,0.011023887433111668,0.006995391566306353,0.0,0.0
10,syntx,0.1,3.0,dsti,5,0.5898655316587962,0.5302698228083366,0.5600676772335664,0.019328606492859283,0.02033773052662302,0.026865719660659457,0.003348743077367544,0.0020138765685260296,0.0,0.0
11,syntx,0.1,3.0,dsti,20,0.5898661102872929,0.5302746804234381,0.5600703953553654,0.019328606492859283,0.019949605898252353,0.02684286030962418,0.003348743775859475,0.0020138765685260296,0.0,0.0
12,syntx,0.1,4.0,gaussian,5,0.5881271245472887,0.5380553569864606,0.5630912407668747,0.0048127453917962875,0.014438236175388862,0.020743211991947813,0.022380037233233452,0.013476681895554066,0.0,0.0
13,syntx,0.1,4.0,gaussian,20,0.5881280238678696,0.5380524007489951,0.5630902123084323,0.0056666195742117575,0.012342363182187252,0.020739855432802875,0.0223800390958786,0.013476680964231491,0.0,0.0
