pair,type,subject1,subject2,dice_affine,dice_ants,dice_syn,dice_tvf,dice_syngs,fold_brain_ants,fold_brain_syn,fold_brain_tvf,fold_brain_syngs,time_ants,time_syn,time_tvf,time_syngs
0,intra,OASIS-TRT-20-17,OASIS-TRT-20-16,0.3717296408692181,0.6328999789585317,0.6426516063008891,0.6565972680891086,0.6532793290865958,0.0,0.0,0.0023638555575153,0.0547502143246824,218.76,89.49854016304016,237.01379084587097,100.91868376731873
1,intra,OASIS-TRT-20-16,OASIS-TRT-20-17,0.3629404247486257,0.6067171957318807,0.6544124533078153,0.661312918539847,0.6504064947116154,0.0,0.0,0.0008377284156281,0.0458401536136993,224.39,52.340402126312256,287.43186497688293,99.80266499519348
2,intra,NKI-TRT-20-10,NKI-TRT-20-4,0.3665032022761307,0.6736926155180265,0.684495376870984,0.6958020612399523,0.6832990849245808,0.0,0.0,0.0046242436927749,0.0712037359863681,185.87,53.71300196647644,312.74325680732727,119.052636384964
3,intra,NKI-TRT-20-8,NKI-TRT-20-15,0.3736290677281179,0.6667688693617475,0.6787616777510439,0.6858084310826514,0.6705138871764654,0.0,0.0,0.0022166957300106,0.0738008872282004,205.68,80.89012408256531,300.91596698760986,119.35505414009094
4,intra,OASIS-TRT-20-12,OASIS-TRT-20-1,0.3451902250570702,0.6134540738479137,0.6184794287358721,0.6486764402874685,0.6365552912867023,0.0,0.0,0.0045489232048927,0.0597504465392414,121.62,89.82184886932373,295.4822311401367,100.21098709106444
5,intra,NKI-TRT-20-20,NKI-TRT-20-11,0.3281973147944511,0.6209805902567052,0.6131819663013196,0.6492747259006153,0.6079444086736208,0.0,0.0,0.0011464519396924,0.0354595622973549,143.84,81.51512789726257,325.8744442462921,119.237065076828
6,intra,MMRR-21-17,MMRR-21-3,0.3162731132934918,0.611563603912908,0.6199278946666553,0.6407146916170079,0.6085020804160515,0.0,0.0,0.0051658229155904,0.0337201869564452,136.76,49.58472299575806,264.89554929733276,109.6001238822937
7,intra,MMRR-21-12,MMRR-21-20,0.322529429961806,0.599886328812783,0.6155052955459016,0.6294182511871018,0.6121585177179305,0.0,0.0,0.0009339108638115,0.0600981358584322,122.15,45.18555402755737,276.85207653045654,109.57276320457458
8,intra,MMRR-21-8,MMRR-21-14,0.372955675611718,0.6278456994136863,0.6214882344281616,0.6280196832136274,0.6381002964006752,0.0,0.0,0.0002463418239148,0.0542356417209697,139.95,44.449811935424805,288.85719656944275,109.48043990135191
9,intra,OASIS-TRT-20-3,OASIS-TRT-20-10,0.3471594185585194,0.6412428349031962,0.6421294944546792,0.6623739649188705,0.6513539617199018,0.0,0.0,0.003493714807062,0.0624413945955161,132.26,89.8616509437561,257.5215620994568,100.14244294166564
10,intra,NKI-TRT-20-11,NKI-TRT-20-10,0.3510227010312314,0.6165275315450189,0.6248888747113348,0.6462960195074812,0.6029406150419159,0.0,0.0,0.0017207923337689,0.0747918155190928,138.51,81.59558391571045,288.68393206596375,119.43010210990906
11,intra,NKI-RS-22-17,NKI-RS-22-1,0.353355026189228,0.6174132835713098,0.6215721927409312,0.638821823067348,0.6320014301314352,0.0,0.0,0.0015960837737429,0.0778134954478193,140.4,55.738197803497314,282.1793022155762,119.25231719017027
12,intra,MMRR-21-9,MMRR-21-2,0.3426504237317752,0.6017600192237048,0.6097838290917112,0.6253864832477848,0.6228427804129645,0.0,0.0,0.0014073028784461,0.0651788989252078,129.48,49.03123688697815,246.54474067687988,109.55807495117188
13,intra,OASIS-TRT-20-7,OASIS-TRT-20-15,0.3294933551982349,0.6418724040601322,0.634700409902466,0.6500687416796942,0.6427998528485548,0.0,0.0,0.0041568554773932,0.0291831534711851,126.87,91.6694712638855,277.6409511566162,100.27861499786376
