pair,type,subject1,subject2,flow_sigma,boot_mode,w_orig,dice_affine,dice_ants,dice_ants_fixed,dice_ants_moving,dice_syntx,dice_syntx_fixed,dice_syntx_moving,dice_gain_pct,win,fold_brain_ants_pct,fold_brain_syntx_pct,fold_whole_ants_pct,fold_whole_syntx_pct,min_jac_brain_ants,min_jac_brain_syntx,harm_ants,harm_syntx,bend_ants,bend_syntx,time_affine_s,time_ants_s,time_syntx_s,speedup,time_total_s
0,intra,OASIS-TRT-20-17,OASIS-TRT-20-16,5.0,antithetic,0.5,0.3769466197541741,0.6347918210317781,0.6130113198207883,0.656572322242768,0.6426516063008891,0.6262630565427472,0.659040156059031,0.7859785269111019,WIN,0.0,0.0,0.0,0.0,0.0842946544289588,0.0626631081104278,0.1310706054791808,0.1648874599486589,0.0309670058195479,0.0459546748315915,5.1718950271606445,118.6276319026947,89.49854016304016,1.3254700209253676,219.84530425071716
1,intra,NKI-RS-22-13,NKI-RS-22-15,5.0,antithetic,0.5,0.332080042385404,0.6320856272817414,0.6449510956663738,0.6192201588971092,0.6544124533078153,0.6660826592934098,0.6427422473222206,2.232682602607383,WIN,0.0,0.0,0.0,0.0,0.1118344739079475,0.0590721443295478,0.0802067117765545,0.1146788196638226,0.018896497611422,0.0333891973132267,5.03508186340332,135.09704208374023,52.340402126312256,2.5811235029817445,199.60423111915588
2,intra,NKI-TRT-20-10,NKI-TRT-20-4,5.0,antithetic,0.5,0.3636640505444702,0.6673194218776082,0.6604575481199768,0.6741812956352394,0.684495376870984,0.677695839335055,0.6912949144069132,1.7175954993375877,WIN,0.0,0.0,0.0,0.0,0.1494723111391067,0.080558180809021,0.0774515634402632,0.1145484186708927,0.0186370050651021,0.0349568044766783,5.763479948043823,119.13314604759216,53.71300196647644,2.217957322920547,185.41352772712708
3,intra,NKI-TRT-20-8,NKI-TRT-20-15,5.0,antithetic,0.5,0.3739148357335029,0.6649581924420076,0.6554404472838001,0.6744759376002152,0.6787616777510439,0.6679602839501335,0.6895630715519544,1.38034853090363,WIN,0.0,0.0,0.0,0.0,0.1536552459001541,0.0238412786275148,0.0872009107843041,0.1163937291130423,0.0198795158648863,0.0318007038440555,5.774800777435303,125.36400890350342,80.89012408256531,1.549806114471319,219.29898190498352
4,intra,OASIS-TRT-20-12,OASIS-TRT-20-1,5.0,antithetic,0.5,0.345480221873719,0.6186230557895285,0.6100722202013944,0.6271738913776627,0.6184794287358721,0.6129144595952642,0.62404439787648,-0.0143627053656336,LOSS,0.0,0.0,0.0,0.0,0.0738792195916175,0.018866503611207,0.1175412675365805,0.151705970056355,0.0271358648315072,0.0409969420870766,5.141324996948242,124.45967698097228,89.82184886932373,1.3856280910231653,225.8535590171814
5,intra,NKI-TRT-20-20,NKI-TRT-20-11,5.0,antithetic,0.5,0.3167846516249361,0.6060831753041636,0.5966593103990088,0.6155070402093182,0.6131819663013196,0.6116907617500374,0.6146731708526019,0.7098790997156046,WIN,0.0,0.0,0.0,0.0,0.1069656014442443,0.0452922172844409,0.0986735764890909,0.1346791721880436,0.0220333627657964,0.0354599193087779,5.582207918167114,128.85138607025146,81.51512789726257,1.5807051941652972,223.6350178718567
6,intra,MMRR-21-17,MMRR-21-3,5.0,antithetic,0.5,0.3168008102169843,0.574291076283261,0.5503741953636466,0.5982079572028755,0.6199278946666553,0.5939485427860546,0.6459072465472562,4.563681838339429,WIN,0.0,0.0,0.0,0.0,0.1166319698095321,0.0549479089677333,0.0910350466147065,0.1292133834213018,0.0196748453308828,0.0339940540725365,6.737063884735107,107.74898290634157,49.58472299575806,2.173027827856564,170.81452703475952
7,intra,MMRR-21-12,MMRR-21-20,5.0,antithetic,0.5,0.3205012428936655,0.6024304293750969,0.5808942500984994,0.6239666086516945,0.6155052955459016,0.5955491820920432,0.63546140899976,1.3074866170804669,WIN,0.0,0.0,0.0,0.0,0.1072097644209861,0.0691564977169036,0.0596607448533177,0.0858083665370941,0.0135556462046224,0.025233022053726,5.110311985015869,107.1279911994934,45.18555402755737,2.370846026014401,163.5503489971161
8,intra,MMRR-21-8,MMRR-21-14,5.0,antithetic,0.5,0.3749835542074228,0.6133829099147647,0.6285391563175557,0.5982266635119737,0.6214882344281616,0.6388466544404734,0.6041298144158497,0.810532451339685,WIN,0.0,0.0,0.0,0.0,0.1274856179952621,0.0449997521936893,0.0686970772221684,0.0913241175003349,0.0156895625405013,0.0245712578180246,5.252495050430298,122.04620599746704,44.449811935424805,2.745708039772399,178.17735815048218
9,intra,OASIS-TRT-20-3,OASIS-TRT-20-10,5.0,antithetic,0.5,0.3453358856006565,0.6335273063473653,0.6274869230597515,0.6395676896349791,0.6421294944546792,0.6378648628079544,0.646394126101404,0.8602188107313835,WIN,0.0,0.0,0.0,0.0,0.1158662587404251,0.0646633580327034,0.1091481428593397,0.1458085104823112,0.0261798512656241,0.0417086132802069,5.53777003288269,114.71889305114746,89.8616509437561,1.276616797558609,216.5471358299255
