random_step,pair,type,fixed_id,moving_id,dice_affine,dice_ants_live,dice_syn_current,dice_tvf_current,diff_syn_vs_ants,diff_tvf_vs_ants,ants_fold_brain_pct,ants_min_jac,syn_fold_brain_pct,syn_min_jac,tvf_fold_brain_pct,tvf_min_jac,time_affine_s,time_ants_s,time_syn_s,time_tvf_s,total_pair_time_s,timestamp,dice_syngs,syngs_fold_brain_pct,syngs_min_jac,time_syngs_s,diff_syngs_vs_ants,dice_greedy,greedy_fold_brain_pct,greedy_min_jac,time_greedy_s,diff_greedy_vs_ants
1,58,inter,NKI-RS-22-3,NKI-TRT-20-14,0.3771281622602989,0.6368645670496631,0.663234572569289,0.666865443981101,0.0263700055196258,0.0300008769314379,0.0,0.0927711650729179,0.005085286750664,0.0,0.0002163951808793,0.0,5.8517961502075195,145.79454612731934,51.14255332946777,277.3855972290039,475.9705629348755,2026-09-19T19:35:03.926084,0.6493411274158382,0.0019475566279138,0.0,122.80468416213988,0.012476560366175,0.6417664324330938,0.0,0.0004889374831691384,13.971897840499878,0.004901865383430737
2,10,intra,NKI-TRT-20-11,NKI-TRT-20-10,0.3374086918595159,0.5928193847300747,0.6145926224781999,0.6194356862050697,0.0217732377481252,0.026616301474995,0.0,0.1100869923830032,0.0044538154521078,0.0,0.0018220154122259,0.0,5.537726402282715,129.33143615722656,48.67210030555725,267.31436228752136,448.2684118747711,2026-09-19T19:42:32.286331,0.5905602387648523,0.0012146769414839,0.0,122.99240279197691,-0.0022591459652223,0.5957628013641612,0.0,0.001680067041888833,13.779873847961426,0.002943416634086482
3,42,inter,MMRR-21-10,NKI-RS-22-11,0.3659443545785197,0.6215448668401928,0.6514328146311859,0.6471579807024741,0.029887947790993,0.0256131138622812,0.0,0.0742572471499443,0.0009470633669575,0.0,0.0002104585259905,0.0,5.219931125640869,114.2558891773224,45.69515919685364,232.95259523391724,394.8125100135803,2026-09-19T19:49:07.188040,0.6274678365685407,0.0,0.0097629381343722,113.18445324897766,0.0059229697283478,0.628640078772616,0.0017888974709198932,0.0,12.287225008010864,0.007095211932423129
4,1,intra,OASIS-TRT-20-16,OASIS-TRT-20-17,0.3478007991379199,0.6114690624184224,0.6340449254474663,0.6520777633934239,0.0225758630290439,0.0406087009750015,0.0,0.0773360580205917,0.0017133815095898,0.0,0.0057448674145073,0.0,5.058654308319092,115.22750639915466,57.98727226257324,222.5629994869232,397.64822793006897,2026-09-19T19:55:44.937409,0.6203420456196593,0.001511807214344,0.0,103.30760407447816,0.0088729832012369,0.6061979415190318,0.0004031485904917405,0.0,11.630290985107422,-0.0052711208993905245
5,72,inter,NKI-TRT-20-15,NKI-RS-22-9,0.4189487257716729,0.6694207820980693,0.6941646564506885,0.6936615700882739,0.0247438743526191,0.0242407879902045,0.0,0.0912078693509101,0.0024208581135059,0.0,0.0027666949868639,0.0,5.502017974853516,130.26883387565613,51.01717495918274,260.50980281829834,444.69343614578247,2026-09-19T20:03:09.735392,0.6912747163127835,0.0,0.0108820563182234,122.85507893562315,0.0218539342147141,0.6772005377857818,0.0002305579155719969,0.0,13.683136940002441,0.007779755687712497
6,66,inter,MMRR-21-2,OASIS-TRT-20-14,0.3487691302986994,0.6247326996328306,0.6445377362027431,0.648014249023644,0.0198050365699125,0.0232815493908133,0.0,0.1202432736754417,0.000932040282781,0.0,0.0020970906362572,0.0,5.099518775939941,121.0962827205658,44.35190272331238,227.11810684204104,394.9277188777923,2026-09-19T20:09:44.763355,0.6368569410772505,0.000932040282781,0.0,113.23480296134947,0.0121242414444199,0.6282459170590659,0.0,0.0008821524097584188,12.493015766143799,0.0035132174262352267
7,15,intra,NKI-TRT-20-16,NKI-TRT-20-18,0.3625706163059345,0.6283927324828897,0.6538871433392037,0.6585597737431768,0.0254944108563139,0.030167041260287,0.0,0.0882358327507972,0.0286280092239971,0.0,0.0007003794305565,0.0,5.55527400970459,136.14013600349426,58.1395583152771,286.8320620059967,484.23314785957336,2026-09-19T20:17:49.086983,0.6369632370269612,0.0007003794305565,0.0,123.07430601119997,0.0085705045440714,0.62616178150286,0.0,0.0002951589704025537,14.182507991790771,-0.002230950980029789
8,26,intra,NKI-RS-22-8,NKI-RS-22-5,0.3726556405919979,0.6432007498838375,0.6687513936305293,0.6732064304114069,0.0255506437466918,0.0300056805275694,0.0,0.1101754829287529,0.0423815640196514,0.0,0.0040982172754851,0.0,5.46372127532959,131.23580145835876,59.97746539115906,333.0380403995514,527.2371218204498,2026-09-19T20:26:36.411535,0.6492826324510178,0.0013993912647998,0.0,122.96141695976256,0.0060818825671803,0.6452456840139703,0.00019991303782854457,0.0,14.155227899551392,0.002044934130132847
9,40,inter,NKI-RS-22-6,OASIS-TRT-20-7,0.3282764633948402,0.5946193641141652,0.6258972024254821,0.6335814705181386,0.0312778383113169,0.0389621064039734,0.0,0.087308645248413,0.0079974791945578,0.0,0.0016794706308571,0.0,5.615375995635986,130.8596167564392,57.18179202079773,280.9075560569763,472.20989298820496,2026-09-19T20:34:28.718778,0.6096102327925652,0.0011196470872381,0.0,123.56107711791992,0.0149908686784,0.5988082737284033,0.0,0.0019115940667688847,13.774909019470215,0.004188909614238123
10,32,intra,NKI-TRT-20-9,NKI-TRT-20-2,0.3366622915054569,0.5885897704029417,0.6160323543676778,0.6171881960740424,0.027442583964736,0.0285984256711007,0.0,0.0922220647335052,0.0012689523318056,0.0,0.0057102854931254,0.0,5.515553951263428,134.57303881645203,63.551528215408325,255.02189874649048,455.74235796928406,2026-09-19T20:42:04.554237,0.5976644941715334,0.0008459682212037,0.0,123.12610268592834,0.0090747237685917,0.5867110632288873,0.0003172380829514139,0.0,13.714663028717041,-0.0018787071740543615
