pair,type,subject1,subject2,model,alpha,cfl,boot_mode,w_orig,dice_affine,dice_ants,dice_ants_fixed,dice_ants_moving,dice_syngs,dice_syngs_fixed,dice_syngs_moving,dice_gain_pct,win,fold_brain_ants_pct,fold_brain_syngs_pct,fold_whole_ants_pct,fold_whole_syngs_pct,min_jac_brain_ants,min_jac_brain_syngs,harm_ants,harm_syngs,bend_ants,bend_syngs,inv_err_mean_mm,inv_err_p95_mm,inv_err_max_mm,time_affine_s,time_ants_s,time_syngs_s,speedup,time_total_s
0,intra,OASIS-TRT-20-17,OASIS-TRT-20-16,syngs_sobolev,0.35,0.25,antithetic,0.5,0.37172964086921817,0.6328999789585317,0.6104823565206208,0.6553176013964426,0.6532793290865958,0.640973962575486,0.6655846955977056,2.0379350128064133,WIN,0.0,0.054750214324682404,0.0,0.007648468017578125,0.12208729237318039,0.0,0.12019913177937269,0.42514554411172867,0.026920276577584445,0.18989643827080727,0.03713879734277725,0.23505890369415283,2.245298385620117,5.018956184387207,218.76,100.91868376731873,2.1676858222247515,112.29030585289001
1,intra,OASIS-TRT-20-16,OASIS-TRT-20-17,syngs_sobolev,0.35,0.25,antithetic,0.5,0.36294042474862576,0.6067171957318807,0.6227132698543852,0.5907211216093762,0.6504064947116154,0.6705043888337846,0.6303086005894462,4.368929897973473,WIN,0.0,0.04584015361369932,0.0,0.0058841705322265625,0.09227591007947922,0.0,0.07420683791860938,0.365350179374218,0.018141575652407482,0.16375020891427994,0.033309437334537506,0.22191905975341797,1.930464506149292,4.501291990280151,224.39,99.80266499519348,2.2483367554444227,110.68558931350708
2,intra,NKI-TRT-20-10,NKI-TRT-20-4,syngs_sobolev,0.35,0.25,antithetic,0.5,0.36650320227613076,0.6736926155180265,0.6708433487486269,0.6765418822874261,0.6832990849245808,0.6815694500965226,0.685028719752639,0.9606469406554297,WIN,0.0,0.07120373598636817,0.0,0.005324681599934896,0.15132613480091095,0.0,0.08205078169703484,0.2741180993616581,0.018460851861163974,0.12371821142733097,0.02500726841390133,0.18848000466823578,1.9786970615386963,5.656725168228149,185.87,119.05263638496399,1.5612422004581064,132.5496621131897
3,intra,NKI-TRT-20-8,NKI-TRT-20-15,syngs_sobolev,0.35,0.25,antithetic,0.5,0.3736290677281179,0.6667688693617475,0.65973868625327,0.6737990524702251,0.6705138871764654,0.6676142514969848,0.673413522855946,0.37450178147179214,WIN,0.0,0.07380088722820043,0.0,0.005555152893066406,0.15346746146678925,0.0,0.08623326197266579,0.30087491497397423,0.019443410099484026,0.13122410792857409,0.028399445116519928,0.20676149427890778,2.320368766784668,5.817252159118652,205.68,119.35505414009094,1.7232617544506046,132.93396997451782
4,intra,OASIS-TRT-20-12,OASIS-TRT-20-1,syngs_sobolev,0.35,0.25,antithetic,0.5,0.3451902250570702,0.6134540738479137,0.6035084964614416,0.6233996512343858,0.6365552912867023,0.6301477651929152,0.6429628173804894,2.310121743878857,WIN,0.0,0.05975044653924143,0.0,0.0067901611328125,0.07889926433563232,0.0,0.10443657636642456,0.3894911929965019,0.024531869974453002,0.1727308752015233,0.034804269671440125,0.22452585399150848,2.150618314743042,4.413031101226807,121.62,100.21098709106445,1.2136393775812286,111.05461502075195
5,intra,NKI-TRT-20-20,NKI-TRT-20-11,syngs_sobolev,0.35,0.25,antithetic,0.5,0.32819731479445113,0.6209805902567052,0.6128964603913134,0.6290647201220968,0.6079444086736208,0.5971274436361097,0.6187613737111319,-1.3036181583084394,LOSS,0.0,0.035459562297354974,0.0,0.0029961268107096357,0.12859222292900085,0.0,0.09232242684811354,0.30492033064365387,0.018560161057393998,0.12940092757344246,0.02956882305443287,0.2151551991701126,1.9599725008010864,6.014088153839111,143.84,119.237065076828,1.2063363007745922,133.0736219882965
6,intra,MMRR-21-17,MMRR-21-3,syngs_sobolev,0.35,0.25,antithetic,0.5,0.31627311329349184,0.611563603912908,0.5947985526122117,0.6283286552136044,0.6085020804160515,0.5941899184699848,0.622814242362118,-0.3061523496856511,LOSS,0.0,0.03372018695644525,0.0,0.002450382008272059,0.07186557352542877,0.0,0.09290660917758942,0.3119804169982672,0.019059629528783262,0.12476409040391445,0.029956649988889694,0.21437479555606842,2.0735878944396973,5.565322160720825,136.76,109.6001238822937,1.2478088085637107,122.11787819862366
7,intra,MMRR-21-12,MMRR-21-20,syngs_sobolev,0.35,0.25,antithetic,0.5,0.32252942996180606,0.599886328812783,0.5880633568062846,0.6117093008192814,0.6121585177179305,0.5950178956310148,0.6292991398048462,1.2272188905147474,WIN,0.0,0.06009813585843225,0.0,0.0033300063189338233,0.10426852107048035,0.0,0.06714717438444495,0.20058029145002365,0.016244232654571533,0.08788319234736264,0.020318591967225075,0.16045385599136353,1.7667438983917236,4.63330602645874,122.15,109.57276320457458,1.114784335336542,121.16108989715576
8,intra,MMRR-21-8,MMRR-21-14,syngs_sobolev,0.35,0.25,antithetic,0.5,0.37295567561171805,0.6278456994136863,0.6384376474768476,0.617253751350525,0.6381002964006752,0.6515714673504833,0.6246291254508671,1.025459698698894,WIN,0.0,0.05423564172096977,0.0,0.00396728515625,0.11190350353717804,0.0,0.07219960261136293,0.2278851568698883,0.01677436294266954,0.09514587442390621,0.023692525923252106,0.17585358023643494,1.6661311388015747,5.006741046905518,139.95,109.48043990135193,1.27831053771891,121.42531108856201
9,intra,OASIS-TRT-20-3,OASIS-TRT-20-10,syngs_sobolev,0.35,0.25,antithetic,0.5,0.3471594185585194,0.6412428349031962,0.6414212080871409,0.6410644617192516,0.6513539617199018,0.6487074743870476,0.654000449052756,1.0111126816705562,WIN,0.0,0.062441394595516155,0.0,0.006465911865234375,0.105536550283432,0.0,0.11274897307157516,0.36441808193922043,0.02737366606015712,0.1639321120455861,0.03217726945877075,0.21087203919887543,1.852361798286438,4.888101816177368,132.26,100.14244294166565,1.3207187293907265,111.47712206840515
